Date,equity
2022-12-14,3.3896684718752276e+57
2022-12-14,3.3112352580121005e+57
2022-12-15,8.260151140746206e+57
2022-12-15,3.3541711793410715e+57
2022-12-16,3.354924312569355e+57
2022-12-16,8.147915612257739e+57
2022-12-19,8.099895285918512e+57
2022-12-19,8.14918164135817e+57
2022-12-20,1.9762085763675275e+58
2022-12-20,8.275628066168658e+57
2022-12-21,8.36725583931465e+57
2022-12-21,1.9851880589882264e+58
2022-12-22,8.443684840922947e+57
2022-12-22,1.9335565031402838e+58
2022-12-23,8.64296975354297e+57
2022-12-23,1.943608913052245e+58
2022-12-26,8.611225230373303e+57
2022-12-26,1.946134511379052e+58
2022-12-27,1.946134511379052e+58
2022-12-27,1.9402527768845373e+58
2022-12-28,4.4020164846404934e+58
2022-12-28,1.9283061556739126e+58
2022-12-29,4.3977773562429106e+58
2022-12-29,1.9167449899584492e+58
2023-01-02,1.8549721724003967e+58
2023-01-02,4.50993986606881e+58
2023-01-03,1.831809100405919e+58
2023-01-03,4.5035499060130604e+58
2023-01-04,1.8601638626006606e+58
2023-01-04,4.507729450854761e+58
2023-01-05,4.5587483928854894e+58
2023-01-05,1.1030642919074586e+59
2023-01-06,4.5452291262253736e+58
2023-01-06,1.1169698338542172e+59
2023-01-09,4.5577828888550763e+58
2023-01-09,1.1095898989958096e+59
2023-01-10,1.1095898989958096e+59
2023-01-10,1.112555547526718e+59
2023-01-11,1.1169568558081017e+59
2023-01-11,2.71462725526519e+59
2023-01-12,1.125064470822245e+59
2023-01-12,2.7259779162849905e+59
2023-01-13,1.1236472637757394e+59
2023-01-13,2.71173090049174e+59
2023-01-16,1.1114930054525508e+59
2023-01-16,2.6757267008527587e+59
2023-01-17,1.1454332661799543e+59
2023-01-17,2.6827499780855587e+59
2023-01-18,2.642107953536218e+59
2023-01-18,6.186057855172439e+59
2023-01-19,2.684674790810395e+59
2023-01-19,6.206822252975244e+59
2023-01-20,2.709592048371365e+59
2023-01-20,6.217565382450029e+59
2023-01-23,6.277547663900592e+59
2023-01-23,1.4266657769288967e+60
2023-01-24,1.4384997420490088e+60
2023-01-24,6.255063066972188e+59
2023-01-25,1.4491502384283189e+60
2023-01-25,6.295063602804075e+59
2023-01-26,6.213839532586214e+59
2023-01-26,1.4659959137538347e+60
2023-01-27,6.13967858118755e+59
2023-01-27,1.4344480348425834e+60
2023-01-30,1.4418400296546816e+60
2023-01-30,1.4386907001916383e+60
2023-01-31,1.4476150398950447e+60
2023-01-31,3.356310082321832e+60
2023-02-01,1.4375751311320823e+60
2023-02-01,3.3270269796343514e+60
2023-02-02,3.2789428245526746e+60
2023-02-02,3.214497988558582e+60
2023-02-03,3.2318503220683205e+60
2023-02-03,7.355271661293055e+60
2023-02-06,3.295475422356275e+60
2023-02-06,7.283934371918188e+60
2023-02-07,3.285342800901722e+60
2023-02-07,7.290221504126624e+60
2023-02-08,7.309353285718576e+60
2023-02-08,3.3127646400594124e+60
2023-02-09,3.305112073385056e+60
2023-02-09,7.312182209751594e+60
2023-02-10,7.312182209751594e+60
2023-02-10,7.4144922176428e+60
2023-02-13,1.5856713480507636e+61
2023-02-13,7.425750378328174e+60
2023-02-14,1.591159698029687e+61
2023-02-14,7.411677878783249e+60
2023-02-15,1.5917725647257356e+61
2023-02-15,1.5961655051097975e+61
2023-02-16,1.599459258950341e+61
2023-02-16,3.466109094329968e+61
2023-02-17,1.5871826127779257e+61
2023-02-17,3.431375045992363e+61
2023-02-22,3.403334255668524e+61
2023-02-22,3.38677574052001e+61
2023-02-23,7.391583662428543e+61
2023-02-23,3.438480176798448e+61
2023-02-24,3.395938523569303e+61
2023-02-24,7.266576836922209e+61
2023-02-27,3.41236087385318e+61
2023-02-27,7.278563768902967e+61
2023-02-28,3.3526182355941624e+61
2023-02-28,7.296946042078145e+61
2023-03-01,3.3565572762431516e+61
2023-03-01,7.460672538756092e+61
2023-03-02,7.460672538756092e+61
2023-03-02,7.344343765475824e+61
2023-03-03,1.6833075319958557e+62
2023-03-03,7.499896934496683e+61
2023-03-06,1.6370818636035864e+62
2023-03-06,7.538051189645455e+61
2023-03-07,1.6479914381347041e+62
2023-03-07,1.6277164356352708e+62
2023-03-08,3.5823035410398294e+62
2023-03-08,1.637968316882449e+62
2023-03-09,3.54610163885351e+62
2023-03-09,1.6344442097889694e+62
